Word_ID	Form	Cognate_set_ID	Segments	Alignment	Doubt	Cognate_detection_method	Cognate_source	Alignment_method	Alignment_source
4533	sam³¹	477	s a m ³¹	s a m ³¹		expert	Hill2017	LingPy:SCA	
4535	sum³¹	477	s u m ³¹	s u m ³¹		expert	Hill2017	LingPy:SCA	
4541	xuat⁵⁵	413	x u a t ⁵⁵	x u a t ⁵⁵		expert	Hill2017	LingPy:SCA	
3970	pje⁵⁵	272	p j e ⁵⁵	p j e ⁵⁵		expert	Hill2017	LingPy:SCA	
2805	ŋɛ̱ʔ⁵⁵	411	ŋ ɛ̰ ʔ ⁵⁵	ŋ ɛ̰ ʔ ⁵⁵		expert	Hill2017	LingPy:SCA	
4544	tu⁵⁵	5	t u ⁵⁵	t u - ⁵⁵		expert	Hill2017	LingPy:SCA	
1440	mjuŋ³⁵	185	m j u ŋ ³⁵	m j u ŋ ³⁵		expert	Hill2017	LingPy:SCA	
4546	pjɛ̱ʔ⁵⁵	685	p j ɛ̰ ʔ ⁵⁵	p j ɛ̰ ʔ ⁵⁵		expert	Hill2017	LingPy:SCA	
4549	tuːn³³	622	t uː n ³³	t uː n ³³		expert	Hill2017	LingPy:SCA	
4550	pjɛ̱ʔ⁵⁵	685	p j ɛ̰ ʔ ⁵⁵	p j ɛ̰ ʔ ⁵⁵		expert	Hill2017	LingPy:SCA	
1441	ɲu³¹	393	ɲ u ³¹	ɲ u ³¹		expert	Hill2017	LingPy:SCA	
4552	fu⁵⁵	206	f u ⁵⁵	f u ⁵⁵		expert	Hill2017	LingPy:SCA	
3289	nɛː³¹	92	n ɛː ³¹	n ɛː ³¹		expert	Hill2017	LingPy:SCA	
1516	kʐom⁵⁵	597	k ʐ o m ⁵⁵	k ʐ o m ⁵⁵		expert	Hill2017	LingPy:SCA	
1445	so³¹	75	s o ³¹	s o ³¹		expert	Hill2017	LingPy:SCA	
487	ʃă³⁵u³¹	337	ʃ ă ³⁵ + u ³¹	ʃ ă ³⁵ - + - u - ³¹		expert	Hill2017	LingPy:SCA	
490	ʃŏ⁵⁵jou³³	337	ʃ ŏ ⁵⁵ + j o u ³³	ʃ ŏ ⁵⁵ + j o u ³³		expert	Hill2017	LingPy:SCA	
493	ʃŏ³⁵ɣuk⁵⁵	337	ʃ ŏ ³⁵ + ɣ u k ⁵⁵	ʃ ŏ ³⁵ + ɣ u k ⁵⁵		expert	Hill2017	LingPy:SCA	
1448	ju⁵⁵	682	j u ⁵⁵	j u - - ⁵⁵		expert	Hill2017	LingPy:SCA	
