ID,Form_ID,Cognateset_ID,Segment_Slice,Alignment,Source
6145,6145,97,,,
2050,2050,1185,,,
6147,6147,102,,,
6148,6148,104,,,
6151,6151,93,,,
6152,6152,59,,,
6153,6153,105,,,
6154,6154,106,,,
6155,6155,104,,,
6156,6156,108,,,
6157,6157,112,,,
6158,6158,114,,,
6159,6159,117,,,
6160,6160,119,,,
6161,6161,65,,,
6162,6162,121,,,
7161,7161,0,,,
6164,6164,124,,,
6165,6165,126,,,
6166,6166,66,,,
2071,2071,791,,,
6169,6169,93,,,
2075,2075,1187,,,
6172,6172,138,,,
2077,2077,254,,,
6174,6174,141,,,
6175,6175,143,,,
2081,2081,254,,,
6178,6178,148,,,
6179,6179,41,,,
6180,6180,152,,,
6181,6181,42,,,
6182,6182,156,,,
6183,6183,45,,,
6185,6185,143,,,
6187,6187,165,,,
2092,2092,255,,,
6189,6189,170,,,
6190,6190,56,,,
6191,6191,173,,,
6192,6192,47,,,
6193,6193,178,,,
6194,6194,66,,,
6195,6195,71,,,
6196,6196,68,,,
6197,6197,80,,,
6198,6198,184,,,
6199,6199,83,,,
6201,6201,84,,,
6202,6202,94,,,
6203,6203,99,,,
6205,6205,183,,,
6206,6206,173,,,
6207,6207,104,,,
6208,6208,38,,,
6209,6209,92,,,
6210,6210,109,,,
6211,6211,105,,,
6212,6212,185,,,
6213,6213,118,,,
6214,6214,96,,,
6215,6215,186,,,
6216,6216,189,,,
6217,6217,60,,,
6219,6219,198,,,
6220,6220,136,,,
6222,6222,48,,,
6223,6223,156,,,
6224,6224,100,,,
6225,6225,201,,,
6226,6226,146,,,
6227,6227,104,,,
6228,6228,138,,,
6229,6229,89,,,
6231,6231,57,,,
6232,6232,152,,,
6233,6233,185,,,
6235,6235,43,,,
6236,6236,219,,,
6237,6237,85,,,
6238,6238,148,,,
6239,6239,95,,,
6240,6240,96,,,
5136,5136,501,,,
6243,6243,56,,,
6244,6244,203,,,
6245,6245,173,,,
6246,6246,199,,,
6247,6247,65,,,
6248,6248,66,,,
6249,6249,68,,,
6250,6250,46,,,
6251,6251,149,,,
6252,6252,227,,,
6253,6253,179,,,
6254,6254,3,,,
6256,6256,0,,,
6257,6257,41,,,
6258,6258,188,,,
6259,6259,165,,,
6260,6260,191,,,
6261,6261,190,,,
6262,6262,110,,,
6263,6263,38,,,
6264,6264,119,,,
6266,6266,167,,,
6268,6268,185,,,
6269,6269,47,,,
6270,6270,177,,,
6271,6271,234,,,
6272,6272,42,,,
6273,6273,153,,,
6274,6274,122,,,
6275,6275,239,,,
6276,6276,181,,,
6277,6277,60,,,
6278,6278,3,,,
6279,6279,216,,,
2184,2184,798,,,
6281,6281,156,,,
6282,6282,82,,,
2187,2187,798,,,
6285,6285,38,,,
6286,6286,239,,,
6287,6287,102,,,
6288,6288,182,,,
2194,2194,798,,,
6291,6291,55,,,
6292,6292,104,,,
6293,6293,202,,,
6294,6294,92,,,
6295,6295,60,,,
2200,2200,269,,,
6297,6297,105,,,
6298,6298,185,,,
4463,4463,999,,,
6300,6300,80,,,
2205,2205,269,,,
6302,6302,71,,,
2207,2207,269,,,
6304,6304,84,,,
2209,2209,269,,,
6307,6307,94,,,
6308,6308,225,,,
6314,6314,75,,,
6315,6315,75,,,
6316,6316,106,,,
6317,6317,124,,,
6318,6318,19,,,
3101,3101,835,,,
6320,6320,41,,,
4984,4984,29,,,
6322,6322,241,,,
6323,6323,105,,,
6324,6324,1154,,,
6325,6325,43,,,
6326,6326,130,,,
6327,6327,42,,,
2232,2232,271,,,
6516,6516,114,,,
2234,2234,271,,,
3103,3103,835,,,
6332,6332,233,,,
6333,6333,112,,,
2393,2393,903,,,
6335,6335,173,,,
6336,6336,196,,,
6337,6337,117,,,
6338,6338,63,,,
2197,2197,269,,,
6340,6340,56,,,
6341,6341,168,,,
6342,6342,126,,,
6343,6343,114,,,
6344,6344,46,,,
6345,6345,178,,,
6346,6346,156,,,
2423,2423,296,,,
6348,6348,165,,,
6350,6350,179,,,
6351,6351,103,,,
6352,6352,182,,,
6353,6353,219,,,
2258,2258,806,,,
2261,2261,806,,,
6361,6361,20,,,
6362,6362,135,,,
6363,6363,38,,,
2268,2268,274,,,
2426,2426,296,,,
6367,6367,168,,,
2272,2272,274,,,
2273,2273,274,,,
6371,6371,189,,,
6372,6372,81,,,
6375,6375,107,,,
6376,6376,60,,,
6377,6377,80,,,
6379,6379,182,,,
6380,6380,223,,,
6381,6381,241,,,
6382,6382,149,,,
5668,5668,1136,,,
6386,6386,75,,,
6387,6387,19,,,
6388,6388,77,,,
6389,6389,83,,,
6390,6390,187,,,
6391,6391,241,,,
6392,6392,59,,,
6394,6394,178,,,
2299,2299,839,,,
6396,6396,140,,,
2301,2301,839,,,
2303,2303,839,,,
6400,6400,223,,,
6401,6401,173,,,
6402,6402,189,,,
2307,2307,839,,,
2308,2308,839,,,
6405,6405,83,,,
2310,2310,839,,,
6407,6407,143,,,
6408,6408,147,,,
6409,6409,78,,,
6410,6410,124,,,
6411,6411,128,,,
6412,6412,154,,,
6413,6413,43,,,
6414,6414,1155,,,
6415,6415,41,,,
6416,6416,56,,,
6417,6417,173,,,
6418,6418,80,,,
6419,6419,66,,,
6420,6420,3,,,
6421,6421,68,,,
6424,6424,200,,,
2436,2436,296,,,
6427,6427,75,,,
6428,6428,156,,,
6429,6429,3,,,
6430,6430,84,,,
6431,6431,115,,,
6432,6432,165,,,
6433,6433,83,,,
6436,6436,46,,,
6437,6437,119,,,
6438,6438,19,,,
6439,6439,77,,,
2345,2345,808,,,
6442,6442,100,,,
6443,6443,182,,,
6444,6444,178,,,
6445,6445,120,,,
6446,6446,237,,,
2352,2352,808,,,
6450,6450,1155,,,
6451,6451,134,,,
2357,2357,810,,,
2358,2358,809,,,
2359,2359,809,,,
2360,2360,809,,,
2361,2361,809,,,
2362,2362,810,,,
6459,6459,124,,,
6460,6460,126,,,
6461,6461,146,,,
6463,6463,151,,,
6464,6464,55,,,
6465,6465,140,,,
6466,6466,141,,,
6467,6467,71,,,
6468,6468,43,,,
6469,6469,241,,,
6470,6470,233,,,
6472,6472,3,,,
6540,6540,38,,,
6474,6474,94,,,
6475,6475,98,,,
6476,6476,117,,,
6478,6478,56,,,
6479,6479,173,,,
6481,6481,104,,,
6482,6482,65,,,
6483,6483,109,,,
6484,6484,66,,,
6485,6485,59,,,
6486,6486,105,,,
6487,6487,185,,,
6489,6489,165,,,
2394,2394,891,,,
2395,2395,891,,,
2396,2396,891,,,
2397,2397,891,,,
2398,2398,903,,,
6495,6495,106,,,
6496,6496,80,,,
6498,6498,127,,,
6499,6499,152,,,
6501,6501,156,,,
6502,6502,219,,,
6503,6503,77,,,
6504,6504,140,,,
6505,6505,223,,,
6506,6506,106,,,
6507,6507,122,,,
6508,6508,42,,,
6510,6510,75,,,
6511,6511,106,,,
6512,6512,19,,,
6513,6513,77,,,
6514,6514,187,,,
6515,6515,241,,,
2420,2420,296,,,
6519,6519,168,,,
6521,6521,55,,,
6522,6522,142,,,
6523,6523,1156,,,
6524,6524,132,,,
6525,6525,234,,,
6526,6526,73,,,
2431,2431,296,,,
6528,6528,112,,,
6529,6529,115,,,
2434,2434,296,,,
6531,6531,224,,,
6532,6532,117,,,
6533,6533,42,,,
6534,6534,126,,,
6535,6535,126,,,
6536,6536,94,,,
6537,6537,99,,,
6538,6538,104,,,
2455,2455,950,,,
2444,2444,950,,,
6541,6541,112,,,
6542,6542,58,,,
2447,2447,950,,,
6544,6544,185,,,
2449,2449,950,,,
6547,6547,108,,,
2452,2452,950,,,
6549,6549,165,,,
6550,6550,78,,,
6551,6551,60,,,
6552,6552,119,,,
6553,6553,124,,,
6556,6556,80,,,
6557,6557,200,,,
6558,6558,195,,,
6559,6559,41,,,
6560,6560,42,,,
6561,6561,55,,,
2468,2468,299,,,
6565,6565,106,,,
6566,6566,146,,,
2471,2471,299,,,
2473,2473,299,,,
6570,6570,189,,,
2475,2475,299,,,
2476,2476,299,,,
6573,6573,77,,,
2478,2478,299,,,
6575,6575,241,,,
6576,6576,156,,,
6577,6577,172,,,
6578,6578,139,,,
6580,6580,46,,,
6581,6581,180,,,
6583,6583,1154,,,
6584,6584,130,,,
2489,2489,300,,,
6587,6587,179,,,
2492,2492,300,,,
6589,6589,112,,,
6590,6590,114,,,
6591,6591,192,,,
6592,6592,105,,,
2497,2497,300,,,
6594,6594,182,,,
6595,6595,92,,,
2500,2500,300,,,
6597,6597,59,,,
6598,6598,126,,,
6599,6599,185,,,
2504,2504,998,,,
6601,6601,66,,,
2507,2507,998,,,
6604,6604,94,,,
6605,6605,96,,,
6606,6606,77,,,
6607,6607,4,,,
2512,2512,998,,,
2513,2513,998,,,
2515,2515,998,,,
6612,6612,60,,,
6613,6613,109,,,
6615,6615,201,,,
6564,6564,65,,,
6618,6618,129,,,
6619,6619,43,,,
6620,6620,112,,,
6621,6621,113,,,
6622,6622,116,,,
6623,6623,103,,,
6625,6625,197,,,
6626,6626,106,,,
6627,6627,136,,,
6628,6628,123,,,
2534,2534,307,,,
2535,2535,307,,,
6632,6632,153,,,
2537,2537,307,,,
2538,2538,307,,,
2539,2539,307,,,
6636,6636,168,,,
6638,6638,68,,,
6639,6639,189,,,
6640,6640,219,,,
6641,6641,178,,,
6643,6643,179,,,
6644,6644,195,,,
6645,6645,3,,,
6646,6646,68,,,
6647,6647,146,,,
6648,6648,142,,,
5204,5204,1101,,,
6571,6571,75,,,
6572,6572,19,,,
1111,1111,1158,,,
