ID	Language_name	Language_ID	Parameter_name	Parameter_ID	Value	Form	Segments	Motivation_structure	Source	Comment
4529	Bola	pela1242	three	492	sam⁵⁵  | 0799.32	sam⁵⁵	s a m ⁵⁵	three	Huang1992,Matisoff2015	
4532	Lashi	lash1242	three	492	sɔm⁵⁵  | 0799.33	sɔm⁵⁵	s ɔ m ⁵⁵	three	Huang1992,Matisoff2015	
4533	Maru	maru1249	three	492	sam³¹  | 0799.31	sam³¹	s a m ³¹		Huang1992,Matisoff2015	
4535	Xiandao	xian1249	three	492	sum³¹  | 0799.29	sum³¹	s u m ³¹	three	Huang1992,Matisoff2015	
4541	Achang_Longchuan	long1373	to throw	1456	xuat⁵⁵  | 1687.28	xuat⁵⁵	x u a t ⁵⁵		Huang1992,Matisoff2015	bad concept
3970	Atsi	zaiw1240	to spit	1440	pje⁵⁵  | 1688.30	pje⁵⁵	p j e ⁵⁵	spit	Huang1992,Matisoff2015	
2805	Maru	maru1249	the needle (for sewing)	1382	ŋɛ̱ʔ⁵⁵  | 0578.31	ŋɛ̱ʔ⁵⁵	ŋ ɛ̰ ʔ ⁵⁵	needle	Huang1992,Matisoff2015	
4544	Atsi	zaiw1240	to throw	1456	tu⁵⁵  | 1687.30	tu⁵⁵	t u ⁵⁵	throw	Huang1992,Matisoff2015	bad concept
1440	Maru	maru1249	to float	1574	mjuŋ³⁵  | 1553.31	mjuŋ³⁵	m j u ŋ ³⁵	float	Huang1992,Matisoff2015	
4546	Bola	pela1242	to throw	1456	pjɛ̱ʔ⁵⁵  | 1687.32	pjɛ̱ʔ⁵⁵	p j ɛ̰ ʔ ⁵⁵	throw	Huang1992,Matisoff2015	bad concept
4549	Lashi	lash1242	to throw	1456	tuːn³³  | 1687.33	tuːn³³	t uː n ³³	throw	Huang1992,Matisoff2015	bad concept
4550	Maru	maru1249	to throw	1456	pjɛ̱ʔ⁵⁵  | 1687.31	pjɛ̱ʔ⁵⁵	p j ɛ̰ ʔ ⁵⁵		Huang1992,Matisoff2015	bad concept
1441	Xiandao	xian1249	to float	1574	ɲu³¹  | 1553.29	ɲu³¹	ɲ u ³¹	float	Huang1992,Matisoff2015	
4552	Xiandao	xian1249	to throw	1456	fu⁵⁵  | 1687.29	fu⁵⁵	f u ⁵⁵	throw	Huang1992,Matisoff2015	bad concept
1516	Xiandao	xian1249	the forest	420	kʐom⁵⁵  | 0050.29	kʐom⁵⁵	k ʐ o m ⁵⁵		Huang1992,Matisoff2015	
