# Wordlist

# DATA
ID	COGID	POS	ALIGNMENT	CONCEPT	DOCULECT	ORIGINAL_CONCEPT	STEDT_SRCID	ORIGINAL_TAXNAME	ORIGINAL_ENTRY	MORPHEMES	NOTE	COGIDS	SOURCE	STEDT_GLOSS	CONCEPTICON_ID	STEDT_REFLEX	IPA	STEDT_CONCEPT	TOKENS	STEDT_RN	STEDT_ANALYSIS	STEDT_ID
2398	903	other	j a ŋ ⁵⁵	light (of weight)	Xiandao	light (weight)	1015.29	Achang (Xiandao) TBL	jaŋ⁵⁵  | 1015.29	lightweight		20	TBL		1052	jaŋ⁵⁵	jaŋ⁵⁵	light (weight)	j a ŋ ⁵⁵	397304	2789	11452
2393	903	other	ʑ a ŋ ⁵⁵	light (of weight)	Achang_Longchuan	light (weight)	1015.28	Achang (Longchuan) TBL	ʑaŋ⁵⁵  | 1015.28	light		20	TBL		1052	ʑaŋ⁵⁵	ʑaŋ⁵⁵	light (weight)	ʑ a ŋ ⁵⁵	397303	2789	11380
#
6603	74		ɑ ⁵³ + l ɛ ²²	middle	Rangoon	middle	0708.27	Burmese (Rangoon)	ɑ⁵³lɛ²²	a-prefix ?		40092 102	TBL		1093		ɑ⁵³lɛ²²		ɑ ⁵³ + l ɛ ²²	34718	10092 517	6035
#
6164	124		n a p ²¹ + k j o̰ ⁵⁵	morning	Atsi	morning	0749.30	Atsi [Zaiwa]	nap²¹kjo̱⁵⁵	morning ?		53 40122	TBL		1339		nap²¹kjo̱⁵⁵		n a p ²¹ + k j o̰ ⁵⁵	42067	6227 10122	10054
6317	124		n ɛ ʔ ³¹ + s u m ³¹	morning	Maru	morning	0749.31	Langsu (Luxi)	nɛʔ³¹sum³¹	morning-1 morning-2		53 40108	TBL		1339		nɛʔ³¹sum³¹		n ɛ ʔ ³¹ + s u m ³¹	43925	6227 10108	10429
6459	124		n ɛ ʔ ³¹ + k ɔ̃ ∼ ⁵⁵	morning	Bola	morning	0749.32	Bola (Luxi)	nɛʔ³¹kɔ̃⁵⁵	day-2 life-span?		53 40026	TBL		1339		nɛʔ³¹kɔ̃⁵⁵		n ɛ ʔ ³¹ + k ɔ̃ ∼ ⁵⁵	45707	6227 10026	1304
6553	124		n a p ³¹ + s ɔ n ⁵⁵	morning	Lashi	morning	0749.33	Leqi (Luxi)	nap³¹sɔn⁵⁵	not-today ?		53 40154	TBL		1339		nap³¹sɔn⁵⁵		n a p ³¹ + s ɔ n ⁵⁵	47526	6227 10154	9617
6628	123		n ɑ̃ ∼ ²² + n ɛ ʔ ⁴	morning	Rangoon	morning	0749.27	Burmese (Rangoon)	nɑ̃²²nɛʔ⁴			40072 53	TBL		1339		nɑ̃²²nɛʔ⁴		n ɑ̃ ∼ ²² + n ɛ ʔ ⁴	34767	10072 6227	9045
#
2742	235	other	tʃ a̰ p ⁵⁵	narrow	Atsi	narrow adj	0977.30	Atsi [Zaiwa] TBL	tʃa̱p⁵⁵  | 0977.30	narrow	bad concept	492	TBL		1267	tʃa̱p⁵⁵	tʃa̱p⁵⁵	narrow	tʃ a̰ p ⁵⁵	395362	6186	3106
